iso3,q33,q67
LKA,1.9459101490553132,2.8903717578961645
LTU,1.6094379124341003,2.9152426796804933
LUX,1.3862943611198906,2.772588722239781
LVA,1.6094379124341003,3.6888794541139363
MAR,1.3862943611198906,2.639057329615259
MDA,1.3862943611198906,2.302585092994046
MDG,1.791759469228055,2.4849066497880004
MDV,0.6931471805599453,1.791759469228055
MEX,2.9444389791664403,4.430816798843313
MKD,1.0986122886681096,2.1972245773362196
MLI,1.0986122886681096,1.791759469228055
MLT,1.0986122886681096,2.3978952727983707
MMR,1.0986122886681096,3.0098814211631266
MNE,1.0986122886681096,2.639057329615259
MNG,1.791759469228055,3.1354942159291497
MOZ,0.6931471805599453,1.0986122886681096
MRT,0.6931471805599453,1.3862943611198906
MTQ,1.0986122886681096,2.0794415416798357
MUS,1.0986122886681096,1.6094379124341003
MYS,1.0986122886681096,2.3978952727983707
NCL,1.0986122886681096,2.0794415416798357
NER,0.6931471805599453,1.6094379124341003
NGA,1.0986122886681096,1.791759469228055
NIC,1.3862943611198906,2.995732273553991
NLD,1.3862943611198906,3.091042453358316
NOR,2.0794415416798357,4.553876891600541
NPL,1.6094379124341003,3.091042453358316
NZL,2.827757128092737,4.204692619390966
OMN,2.0794415416798357,3.091042453358316
PAK,1.3862943611198906,2.225671916563834
PAN,1.0986122886681096,1.9459101490553132
PER,1.6094379124341003,2.5649493574615367
PHL,1.762588020141023,2.70805020110221
PNG,0.6931471805599453,1.3862943611198906
POL,1.0986122886681096,3.044522437723423
PRK,1.9766223693589535,2.772588722239781
PRT,1.6094379124341003,3.4657359027997265
PRY,1.3862943611198906,2.833213344056216
PSE,1.3862943611198906,2.5649493574615367
QAT,3.019151552355319,4.3571394857726204
ROU,1.6094379124341003,3.1354942159291497
RUS,2.0794415416798357,3.8918202981106265
RWA,1.0986122886681096,1.6094379124341003
SAU,2.440530847523289,3.5553480614894135
SEN,1.6094379124341003,2.5649493574615367
SGP,2.4849066497880004,3.2188758248682006
SLE,1.0986122886681096,1.3862943611198906
SLV,1.0986122886681096,1.9459101490553132
SRB,1.791759469228055,2.833213344056216
SSD,0.6931471805599453,1.0986122886681096
SUR,0.6931471805599453,1.0986122886681096
SVK,1.0986122886681096,2.3978952727983707
SVN,1.791759469228055,3.6133180548816197
SWE,1.791759469228055,3.8918202981106265
SYC,0.6931471805599453,0.6931471805599453
SYR,0.6931471805599453,0.6931471805599453
TCD,1.082393684343783,1.4025129654442174
TGO,1.0986122886681096,1.791759469228055
THA,2.302585092994046,3.091042453358316
TJK,0.6931471805599453,1.3862943611198906
TLS,1.0986122886681096,2.0794415416798357
TTO,0.6931471805599453,1.0986122886681096
TUN,1.0986122886681096,2.1972245773362196
TUR,1.9459101490553132,3.4011973816621555
TZA,1.1647791653320203,2.0794415416798357
UGA,1.3862943611198906,2.302585092994046
UKR,1.9459101490553132,3.4965075614664802
URY,1.0986122886681096,1.791759469228055
USA,5.10594547390058,6.920671504248683
UZB,1.0986122886681096,1.6094379124341003
VCT,0.6931471805599453,1.0986122886681096
VEN,1.0986122886681096,1.791759469228055
VNM,2.1972245773362196,2.8903717578961645
X09,2.5649493574615367,4.3694478524670215
X10,1.3862943611198906,2.5649493574615367
X11,1.0986122886681096,2.610155220475308
X12,1.9459101490553132,3.4965075614664802
XKX,1.3862943611198906,3.097133249747591
YEM,1.0986122886681096,2.2169831064487506
ZAF,1.6094379124341003,3.332204510175204
ZMB,1.0986122886681096,1.791759469228055
_global,1.6094379124341003,3.044522437723423
